block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,52.0,575.0,800.0,1,-1,1,3.0007552909996775,,,,
prac,2,0.0,260.0,587.5,800.0,1,-1,1,3.0002076249998026,,,,
prac,3,0.0,10.800000190734863,25.0,800.0,0,0,1,1.3142404589998478,,,,
main,1,0.0,260.0,437.5,800.0,1,0,0,0.41444995799975004,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,0,0,1,0.5186844589998145,0.019267106,2.4981148,0.034949355,1.4735926
main,3,0.0,104.0,337.5,800.0,1,0,0,0.4359271670000453,0.029766457,2.4987025,0.03369031,1.4733024
main,4,0.0,52.0,337.5,800.0,0,1,0,0.31149666700002854,0.039167117,2.4987009,0.03224715,1.4733022
main,5,0.0,21.5,425.0,800.0,0,1,0,0.7066944590001185,0.04863315,2.4687593,0.037884217,1.4892257
main,6,0.0,104.0,137.5,800.0,0,1,0,0.483244458000172,0.047979575,2.6383212,0.027933452,1.42211
main,7,0.0,1.0,762.5,800.0,0,1,0,0.7097479169997314,0.052331153,0.8573598,0.06920289,0.7729011
main,8,0.0,17.200000762939453,425.0,800.0,0,1,0,0.5736636250003357,0.08190121,0.040801354,0.17325729,0.07670579
main,9,0.0,10.800000190734863,350.0,800.0,0,1,0,0.3348404580001443,0.09568086,0.0012785449,0.21045692,0.065616146
main,10,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.7934064589999252,0.09584937,0.002555807,0.21063098,0.092754334
main,11,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.721099625000079,0.09618599,0.005106485,0.21097785,0.13105895
main,12,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.6397745409999516,0.09685695,0.010192512,0.21166644,0.18501957
main,13,0.0,2.0,425.0,800.0,1,0,0,0.4730252499998642,0.0975348,0.00816572,0.21322684,0.1656207
main,14,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.7034546250001767,0.099544525,0.016279323,0.21609478,0.23356643
main,15,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.7946802500000558,0.10352564,0.032352213,0.2216116,0.32847348
main,16,0.0,2.0,337.5,800.0,0,1,0,0.5115271249997022,0.10566114,0.03235366,0.22761302,0.32847136
main,17,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.47329837500001304,0.11555538,0.063896105,0.24291572,0.4594194
main,18,0.0,1.0,425.0,800.0,0,1,0,0.5419392079998033,0.11816681,0.06389516,0.251158,0.45942244
main,19,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.5623454999999922,0.13971388,0.1246663,0.2829617,0.63580036
main,20,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.6915240410003207,0.17979445,0.23771001,0.33044776,0.86251104
main,21,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.4798257080001349,0.24970196,0.43487698,0.39027113,1.1292589
main,22,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.432376917000056,0.35895902,0.74302596,0.4473497,1.3963789
main,23,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.4942050829999971,0.50351065,1.150719,0.4761177,1.5970647
main,24,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.7730510000001232,0.6577616,1.585769,0.4571064,1.6807834
main,25,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.4982108750000407,0.78882086,1.9554081,0.39557505,1.6615494
main,26,0.0,1.0,437.5,800.0,0,1,0,0.8651798339997185,0.8803663,2.2170296,0.31570232,1.5971066
main,27,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.5442275420000442,0.93589664,2.3738885,0.23858833,1.5358558
main,28,0.0,0.4300000071525574,562.5,800.0,0,1,0,0.5233522089997678,0.9654934,2.5423055,0.17805806,1.4643718
main,29,0.0,21.5,37.5,800.0,0,1,0,0.5712886669998625,0.9814066,2.697358,0.13183278,1.3964591
main,30,0.0,21.5,37.5,800.0,1,1,1,0.5050288749998799,0.8274755,0.676382,0.3670226,0.63740957
