block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,520.0,550.0,800.0,0,-1,0,3.000233708000451,,,,
prac,2,0.0,0.4300000071525574,275.0,800.0,0,1,0,1.6329401660004805,,,,
prac,3,0.0,21.5,325.0,800.0,0,0,1,0.5174442499992438,,,,
prac,4,0.0,0.4300000071525574,675.0,800.0,1,-1,1,3.0002038330003415,,,,
main,1,0.0,260.0,437.5,800.0,0,1,0,1.914306166998358,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,0,-1,0,3.0003004589998454,0.34512672,2.5018456,0.28752378,1.4715083
main,3,0.0,4.300000190734863,412.5,800.0,1,-1,1,3.00018983299924,0.11573092,2.4975657,0.054607738,1.4738643
main,4,0.0,8.600000381469727,412.5,800.0,0,0,1,2.963881916999526,0.07723495,2.4964547,0.03374525,1.4744121
main,5,0.0,12.899999618530273,387.5,800.0,0,1,0,0.6680033749998984,0.0954144,2.4633832,0.036938466,1.4917277
main,6,0.0,8.600000381469727,437.5,800.0,0,1,0,0.9408212079997611,0.096258886,0.5225423,0.09155341,0.5622123
main,7,0.0,8.600000381469727,412.5,800.0,1,-1,1,3.000309790999381,0.09551014,0.59590936,0.06934698,0.56705356
main,8,0.0,8.600000381469727,400.0,800.0,0,1,0,1.0949240420013666,0.09661199,0.007924689,0.20221166,0.028006447
main,9,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.5168172499998036,0.097556636,0.014731456,0.19500819,0.036848333
main,10,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.5007910829990578,0.09909559,0.025820455,0.18265511,0.04575534
main,11,0.0,0.4300000071525574,12.5,800.0,1,1,1,1.004261875001248,0.101258226,0.04140358,0.16370353,0.052075442
main,12,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.000273916999504,0.10374151,0.05929702,0.13874473,0.05313011
main,13,0.0,10.800000190734863,375.0,800.0,0,-1,0,3.0002706670002226,0.109547056,0.06394897,0.13171819,0.05258836
main,14,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0003265840005042,0.11293402,0.0793816,0.103954114,0.04698794
main,15,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0002611670006445,0.11532469,0.090274476,0.078576274,0.03908306
main,16,0.0,8.600000381469727,425.0,800.0,0,-1,0,3.0002374169998802,0.11821478,0.096357934,0.060457762,0.033066
main,17,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0002218749996246,0.11917782,0.1004455,0.04372205,0.027003022
main,18,0.0,8.600000381469727,437.5,800.0,1,-1,1,3.0002180419996876,0.10130391,0.047926366,0.15354271,0.050984062
main,19,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0002496670003893,0.10339533,0.06523272,0.1269037,0.04908235
main,20,0.0,8.600000381469727,412.5,800.0,0,-1,0,3.000330708000547,0.11014682,0.06353415,0.12980463,0.049502086
main,21,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0002848749991244,0.11355241,0.07831906,0.10207219,0.04315968
main,22,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.000175875000423,0.095512226,6.731103e-08,0.21028215,8.290158e-05
main,23,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.000258042000496,0.09551223,1.3462198e-07,0.21028207,0.00011724047
main,24,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.000246125000558,0.0955122,2.6924443e-14,0.21028219,5.2431613e-08
main,25,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0003019160012627,0.0955122,5.3848723e-21,0.21028219,2.3448094e-11
main,26,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0002997080009663,0.0955122,1.076973e-20,0.21028219,3.316059e-11
main,27,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.000264665999566,0.0955122,2.1539433e-27,0.21028219,1.4829858e-14
main,28,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.000175457998921,0.0955122,4.3078804e-27,0.21028219,2.0972571e-14
main,29,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0003266670009907,0.0955122,8.615751e-34,0.21028219,9.379213e-18
main,30,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.00025579099929,0.0955122,1.7231478e-33,0.21028219,1.3264201e-17
