block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,2.0,250.0,800.0,1,1,1,2.0375607910000326,,,,
prac,2,0.0,52.0,637.5,800.0,1,0,0,0.407165208999686,,,,
prac,3,0.0,1.0,300.0,800.0,0,0,1,0.3127938339994216,,,,
main,1,0.0,260.0,437.5,800.0,1,0,0,0.34997979200034024,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,0,1,0,0.3735183339995274,0.34512672,2.5018456,0.28752378,1.4715083
main,3,0.0,4.300000190734863,412.5,800.0,0,0,1,0.6078899579997596,0.11573092,2.4975657,0.054607738,1.4738643
main,4,0.0,8.600000381469727,412.5,800.0,0,1,0,0.3547915830004058,0.15426293,2.4986765,0.04311564,1.473315
main,5,0.0,4.300000190734863,462.5,800.0,0,1,0,0.43324158300038107,0.19006465,2.4684067,0.04072955,1.4893945
main,6,0.0,2.0,575.0,800.0,1,1,1,0.42659220799941977,0.19133727,2.6280894,0.029945746,1.4247619
main,7,0.0,17.200000762939453,187.5,800.0,0,0,1,0.36959037499946135,0.17511429,0.50726825,0.09223927,0.50387305
main,8,0.0,6.440000057220459,375.0,800.0,0,-1,0,3.0003335410001455,0.18368658,0.5839678,0.07089661,0.5051211
main,9,0.0,6.440000057220459,400.0,800.0,0,0,1,2.519843375000164,0.09935826,0.005404667,0.20540844,0.023158178
main,10,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.345448292000583,0.10282171,0.010271703,0.2008553,0.031132959
main,11,0.0,2.0,775.0,800.0,1,0,0,0.3715591250002035,0.10880862,0.018684756,0.19258459,0.040074177
main,12,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.5254700830000729,0.11803036,0.031643633,0.17870724,0.04805912
main,13,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.6335515000000669,0.12998457,0.048442286,0.15812615,0.0521733
main,14,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.42240912499983096,0.14244124,0.0659469,0.13219708,0.050510317
main,15,0.0,6.440000057220459,375.0,800.0,1,0,0,0.40933454200057895,0.14970899,0.059582338,0.14508519,0.05242895
main,16,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.4271794999995109,0.16434693,0.075674824,0.11740727,0.047680356
main,17,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.3783867920001285,0.17509395,0.087489806,0.09042987,0.039933316
main,18,0.0,6.440000057220459,387.5,800.0,0,1,0,0.6463408340005117,0.1833962,0.09413668,0.07041782,0.033589356
main,19,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.4401960830000462,0.18771172,0.09875921,0.051312193,0.02696532
main,20,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.6322205410006063,0.1900324,0.10124502,0.036971144,0.022220619
main,21,0.0,6.440000057220459,400.0,800.0,0,0,1,0.4101682910004456,0.1442865,0.06212749,0.13810897,0.04981982
main,22,0.0,4.300000190734863,462.5,800.0,0,1,0,0.7183716669997011,0.15601729,0.065533414,0.13396253,0.048941232
main,23,0.0,4.300000190734863,650.0,800.0,1,0,0,0.6613914999998087,0.16920483,0.07981691,0.106055744,0.042157345
main,24,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.7401661249996323,0.17821796,0.089579105,0.08043507,0.03346821
main,25,0.0,6.440000057220459,387.5,800.0,1,0,0,1.3402719160003471,0.18544546,0.094682164,0.062060725,0.02648023
main,26,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.4650284159997682,0.18881993,0.0982348,0.044967026,0.019455614
main,27,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.39761770799941587,0.19060391,0.100113004,0.032335903,0.014061486
main,28,0.0,6.440000057220459,400.0,800.0,1,1,1,1.032403291999799,0.14976119,0.0691619,0.12617068,0.04768672
main,29,0.0,4.300000190734863,462.5,800.0,1,0,0,0.5990902920002554,0.16215773,0.072189674,0.12190357,0.046421833
main,30,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.7603349580003851,0.17357627,0.084558114,0.09454676,0.03844935
