block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,260.0,737.5,800.0,1,1,1,1.9774944999990112,,,,
prac,2,0.0,260.0,612.5,800.0,0,1,0,0.41950483300024644,,,,
prac,3,0.0,21.5,700.0,800.0,1,0,0,0.2737349170001835,,,,
prac,4,0.0,6.440000057220459,87.5,800.0,1,1,1,0.3479539580002893,,,,
main,1,0.0,260.0,437.5,800.0,1,0,0,0.3027084580007795,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,1,0,0,0.30313166699852445,0.34512672,2.5018456,0.28752378,1.4715083
main,3,0.0,4.300000190734863,412.5,800.0,1,0,0,0.36886437500106695,0.54238117,2.5055268,0.25890854,1.46947
main,4,0.0,2.0,425.0,800.0,0,1,0,0.3669269580004766,0.7175089,2.5111547,0.20523168,1.466308
main,5,0.0,2.0,337.5,800.0,0,1,0,0.4741189169999416,0.88237154,2.5084496,0.14645515,1.467668
main,6,0.0,1.0,425.0,800.0,1,0,0,0.02126687500094704,0.9853687,2.509754,0.11577948,1.4670137
main,7,0.0,21.5,37.5,800.0,0,1,0,0.3369864169999346,0.99219203,2.6634967,0.08527597,1.406438
main,8,0.0,21.5,37.5,800.0,1,0,0,0.3753151250002702,0.99589187,2.7809176,0.062144604,1.3523529
main,9,0.0,4.300000190734863,150.0,800.0,0,0,1,0.41205866699965554,0.9976556,2.9451687,0.046783857,1.2976443
main,10,0.0,4.300000190734863,150.0,800.0,1,1,1,0.4679595000015979,0.99867177,3.0833852,0.034942165,1.243242
main,11,0.0,4.300000190734863,150.0,800.0,0,1,0,0.40822149999985413,0.9925991,1.8463882,0.083564535,1.0957146
main,12,0.0,21.5,37.5,800.0,0,1,0,0.4757104589989467,0.99595356,1.950294,0.06192612,1.0777395
main,13,0.0,21.5,37.5,800.0,0,1,0,0.32375449999926786,0.99781954,2.0373082,0.045513865,1.060273
main,14,0.0,21.5,37.5,800.0,0,0,1,0.3741232909997052,0.9824612,0.9267464,0.12801772,0.5637561
main,15,0.0,8.600000381469727,87.5,800.0,1,1,1,0.36294174999966344,0.8903295,0.3422287,0.3037632,0.27022395
main,16,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.3690348330001143,0.9414532,0.36424145,0.22828731,0.26400727
main,17,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.43198320900046383,0.9695636,0.376345,0.1667565,0.25973225
main,18,0.0,2.0,275.0,800.0,0,0,1,0.3917055829988385,0.86707276,0.15247424,0.32662168,0.11411336
main,19,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.33982654200008255,0.92668,0.16425371,0.24892528,0.1099684
main,20,0.0,1.0,437.5,800.0,1,1,1,1.2587124170004245,0.38424003,0.037413087,0.421323,0.049658846
main,21,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.29238687500037486,0.5187552,0.054843437,0.42741182,0.051564943
main,22,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.3633549160003895,0.6472886,0.07149867,0.39218408,0.04770327
main,23,0.0,1.0,425.0,800.0,0,0,1,0.34581012499984354,0.59364295,0.07182301,0.34615833,0.046781488
main,24,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.4646552909998718,0.6805183,0.08434915,0.2866863,0.03890528
main,25,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.32090729199990164,0.73640513,0.092407174,0.22360454,0.030225808
main,26,0.0,1.0,412.5,800.0,1,1,1,0.3944716670011985,0.75597215,0.096636996,0.16732886,0.02339668
main,27,0.0,1.0,250.0,800.0,1,0,0,0.39857470900096814,0.09551475,3.6976124e-07,0.21028611,0.00019448301
main,28,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.34422287499910453,0.09551731,7.3952003e-07,0.21029004,0.00027503958
main,29,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.4543520000006538,0.095522396,1.4790296e-06,0.21029785,0.00038896184
main,30,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.3665765419991658,0.095532626,2.9580156e-06,0.21031356,0.0005500671
