block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,3.0,625.0,800.0,0,0,1,2.7651609579997967,,,,
prac,2,0.0,10.800000190734863,637.5,800.0,1,-1,1,3.000254833999861,,,,
prac,3,0.0,12.899999618530273,287.5,800.0,0,-1,0,3.000212625000131,,,,
main,1,0.0,260.0,437.5,800.0,0,-1,0,3.0002681249998204,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,1,-1,1,3.00030445900029,0.019267106,2.4981148,0.034949355,1.4735926
main,3,0.0,104.0,337.5,800.0,1,-1,1,3.000321917000292,0.008772919,2.4975274,0.032977648,1.4738823
main,4,0.0,156.0,400.0,800.0,1,-1,1,3.000284499999907,0.0064754793,2.4982545,0.033013437,1.4735228
main,5,0.0,156.0,450.0,800.0,0,-1,0,3.0003679999999804,0.008461127,2.4686325,0.040070705,1.4892893
main,6,0.0,260.0,325.0,800.0,1,-1,1,3.00030387499919,0.025641046,0.42176777,0.10602828,0.4656819
main,7,0.0,156.0,450.0,800.0,1,-1,1,3.000371584000277,0.070842534,0.032190397,0.18394879,0.058592852
main,8,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0002182910002375,0.056713525,0.050626803,0.16535787,0.06682812
main,9,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0003434999998717,0.0955122,1.7679119e-08,0.21028219,4.954377e-05
main,10,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0003250409999964,0.09551217,3.5358234e-08,0.21028218,7.006547e-05
main,11,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.000302709000607,0.095512144,7.071641e-08,0.21028215,9.908749e-05
main,12,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0001992500001506,0.0955122,1.4143292e-14,0.21028219,4.4313285e-08
main,13,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0003679170004034,0.0955122,2.8286566e-21,0.21028219,1.9817495e-11
main,14,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0002378750004937,0.0955122,5.657305e-21,0.21028219,2.802615e-11
main,15,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0003353749998496,0.0955122,1.1314597e-27,0.21028219,1.25336685e-14
main,16,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.000242041999627,0.0955122,2.2629159e-27,0.21028219,1.772527e-14
main,17,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.000325791999785,0.0955122,4.5258273e-34,0.21028219,7.926978e-18
main,18,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0003162080001857,0.0955122,9.051642e-34,0.21028219,1.12104314e-17
main,19,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.000285416999759,0.0955122,1.8103258e-33,0.21028219,1.5853934e-17
main,20,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0002038330003415,0.0955122,3.6189e-40,0.21028219,7.048222e-21
main,21,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0002166250005757,0.0955122,7.24132e-40,0.21028219,1.0027192e-20
main,22,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0002468749999025,0.0955122,0.0,0.21028219,0.0
main,23,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0002259590000904,0.0955122,0.0,0.21028219,0.0
main,24,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.000297667000268,0.0955122,0.0,0.21028219,0.0
main,25,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.0002523749999455,0.0955122,0.0,0.21028219,0.0
main,26,0.0,0.4300000071525574,12.5,800.0,0,0,1,2.421225207999669,0.0955122,0.0,0.21028219,0.0
main,27,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.000237458999436,0.0955122,0.0,0.21028219,0.0
main,28,0.0,0.4300000071525574,12.5,800.0,1,-1,1,3.000320209000165,0.0955122,0.0,0.21028219,0.0
main,29,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0002328330001546,0.0955122,0.0,0.21028219,0.0
main,30,0.0,0.4300000071525574,12.5,800.0,0,-1,0,3.0003812499999185,0.0955122,0.0,0.21028219,0.0
