block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,2.0,775.0,800.0,1,-1,1,3.0002485830000296,,,,
prac,2,0.0,12.899999618530273,575.0,800.0,1,0,0,2.618535042000076,,,,
prac,3,0.0,52.0,400.0,800.0,0,1,0,2.8867334999995364,,,,
main,1,0.0,260.0,437.5,800.0,0,1,0,0.3501814999999624,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,1,1,1,0.33401895800034254,0.019267106,2.4981148,0.034949355,1.4735926
main,3,0.0,104.0,337.5,800.0,1,0,0,1.0198126659997797,0.029766457,2.4987025,0.03369031,1.4733024
main,4,0.0,52.0,337.5,800.0,0,1,0,0.609891625000273,0.039167117,2.4987009,0.03224715,1.4733022
main,5,0.0,21.5,425.0,800.0,1,1,1,0.5103784580005595,0.03434699,2.5139475,0.027743498,1.4648917
main,6,0.0,26.0,425.0,800.0,1,0,0,0.5518337080002311,0.038195703,2.5196366,0.02737182,1.4619968
main,7,0.0,104.0,162.5,800.0,0,1,0,0.5158301660003417,0.042488243,0.7503303,0.064377844,0.7008572
main,8,0.0,17.200000762939453,475.0,800.0,0,0,1,0.8139843750004729,0.040053137,0.81103355,0.047560308,0.699027
main,9,0.0,8.600000381469727,600.0,800.0,0,1,0,0.5103802079993329,0.051557742,0.18924747,0.10697043,0.17713599
main,10,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.5137177919996248,0.045432568,0.21561977,0.08104629,0.17338775
main,11,0.0,0.4300000071525574,12.5,800.0,0,0,1,1.0258000829999219,0.04168185,0.23176856,0.05955497,0.16903286
main,12,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.4436202080005387,0.03958762,0.24078542,0.042980973,0.16586913
main,13,0.0,12.899999618530273,525.0,800.0,0,1,0,0.46648691700011113,0.05006839,0.09810044,0.09953657,0.0671787
main,14,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.4437627090001115,0.044696257,0.109697394,0.07468905,0.06143553
main,15,0.0,21.5,412.5,800.0,1,0,0,0.40292849999968894,0.06729374,0.05573286,0.14449081,0.05139797
main,16,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.5024283749999086,0.05894252,0.07222693,0.11689506,0.047246784
main,17,0.0,21.5,425.0,800.0,1,0,0,0.6736017920002269,0.05849093,0.07726972,0.10626703,0.04433024
main,18,0.0,156.0,312.5,800.0,1,0,0,0.4629959580006471,0.053317744,0.08806698,0.08045804,0.035901103
main,19,0.0,21.5,437.5,800.0,0,1,0,0.4406480420002481,0.050772138,0.09423411,0.060789842,0.028290883
main,20,0.0,8.600000381469727,787.5,800.0,1,0,0,0.6795023750000837,0.048917513,0.09814045,0.043922324,0.021217566
main,21,0.0,26.0,400.0,800.0,0,1,0,0.7008811659998173,0.048119098,0.100157656,0.03188577,0.016101161
main,22,0.0,0.4300000071525574,12.5,800.0,1,1,1,1.067924375000075,0.047595873,0.10126345,0.022686316,0.012252979
main,23,0.0,26.0,400.0,800.0,0,1,0,0.5037918749994788,0.04739223,0.10182039,0.016256219,0.009783045
main,24,0.0,8.600000381469727,787.5,800.0,1,0,0,0.6908057500004361,0.047255393,0.10210989,0.0115186665,0.008149668
main,25,0.0,26.0,400.0,800.0,1,0,0,0.5143677080004636,0.047207996,0.10225892,0.008220563,0.0072491593
main,26,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.8460913339995386,0.047172975,0.10233308,0.0058197128,0.0067082234
main,27,0.0,21.5,437.5,800.0,0,1,0,0.4955303749993618,0.047162898,0.102375746,0.0041490756,0.006473852
main,28,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.5216191660001641,0.047153983,0.10239463,0.0029374121,0.0063233264
main,29,0.0,26.0,387.5,800.0,0,1,0,0.4803882499991232,0.047153022,0.102423534,0.0021323857,0.0064117042
main,30,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.664489040999797,0.04715066,0.10242851,0.0015089847,0.0063718436
