block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,260.0,25.0,800.0,0,-1,0,3.000299084000062,,,,
prac,2,0.0,104.0,112.5,800.0,0,1,0,0.830123624999942,,,,
prac,3,0.0,520.0,362.5,800.0,0,0,1,1.7377424169999358,,,,
main,1,0.0,260.0,437.5,800.0,0,1,0,0.43115599999987353,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,0,0,1,0.41364054200016653,0.019267106,2.4981148,0.034949355,1.4735926
main,3,0.0,104.0,337.5,800.0,0,1,0,0.46342058300001554,0.029766457,2.4987025,0.03369031,1.4733024
main,4,0.0,52.0,337.5,800.0,0,0,1,0.6143822500000624,0.0203658,2.4987035,0.032456845,1.473303
main,5,0.0,52.0,387.5,800.0,0,1,0,0.4818758750000143,0.025530012,2.468447,0.03899157,1.4893776
main,6,0.0,26.0,500.0,800.0,1,0,0,0.28084008299993,0.024533452,2.6470397,0.028859846,1.4218291
main,7,0.0,10.800000190734863,637.5,800.0,0,1,0,0.6680553749999945,0.03198802,0.7481635,0.07571504,0.7011057
main,8,0.0,52.0,350.0,800.0,0,0,1,0.8341283330000806,0.028095277,0.8364975,0.057061307,0.69719607
main,9,0.0,21.5,525.0,800.0,0,0,1,0.5393596669998715,0.025888022,0.8947612,0.04201471,0.69162506
main,10,0.0,21.5,537.5,800.0,0,1,0,0.47560508399988066,0.024734326,0.96263844,0.03130525,0.69093406
main,11,0.0,104.0,237.5,800.0,0,1,0,0.3486300410002059,0.024093827,1.027391,0.02330183,0.69109684
main,12,0.0,104.0,237.5,800.0,1,0,0,0.8294165410000005,0.023731746,1.0823357,0.017191498,0.6898284
main,13,0.0,12.899999618530273,612.5,800.0,0,0,1,0.4065904579999824,0.02354339,1.1501088,0.012918026,0.6946163
main,14,0.0,12.899999618530273,612.5,800.0,1,0,0,0.4486974999999802,0.024511727,0.6044403,0.028780151,0.34258467
main,15,0.0,1.0,787.5,800.0,0,1,0,0.3896360830001413,0.023959441,0.6330291,0.021243282,0.33857894
main,16,0.0,0.4300000071525574,787.5,800.0,0,0,1,0.4692956660001073,0.023665495,0.6630497,0.015823133,0.3368028
main,17,0.0,0.4300000071525574,787.5,800.0,0,0,1,0.5420306250000522,0.02350009,0.6895845,0.011714975,0.33510843
main,18,0.0,6.440000057220459,700.0,800.0,0,0,1,2.2536390420000316,0.024486512,0.420986,0.028480524,0.20651746
main,19,0.0,8.600000381469727,675.0,800.0,0,0,1,0.7866251250000005,0.032152973,0.21050164,0.07734508,0.13491239
main,20,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.30106820900005005,0.028015345,0.22424841,0.05662136,0.12770008
main,21,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.4828898749999553,0.025737014,0.23181774,0.04077561,0.1228944
main,22,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.4852365420001661,0.024539197,0.23579738,0.029104669,0.120099664
main,23,0.0,52.0,375.0,800.0,0,0,1,0.5243333329999587,0.030539796,0.12958406,0.07002799,0.07417822
main,24,0.0,0.4300000071525574,12.5,800.0,0,0,1,1.264621125000076,0.027110722,0.13642316,0.050935626,0.06971227
main,25,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.35702212499995767,0.025256768,0.14012074,0.036551435,0.06688354
main,26,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.3622483750000356,0.024291584,0.14204577,0.026041092,0.06527957
main,27,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.7953453329998865,0.023798987,0.14302824,0.01848406,0.064423434
main,28,0.0,156.0,187.5,800.0,1,1,1,1.172640083000033,0.025168134,0.11023086,0.03571665,0.03737807
main,29,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.43033074999993914,0.024246076,0.111675784,0.02543763,0.035412893
main,30,0.0,156.0,375.0,800.0,1,0,0,0.5103379590000259,0.02377592,0.112412535,0.018052557,0.03434423
