block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,156.0,275.0,800.0,1,-1,1,3.0002045420005743,,,,
prac,2,0.0,4.300000190734863,75.0,800.0,1,1,1,1.638741917000516,,,,
prac,3,0.0,3.0,312.5,800.0,0,0,1,0.5509056669998245,,,,
main,1,0.0,260.0,437.5,800.0,1,0,0,0.6016328339992469,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,0,0,1,0.5676121249998687,0.019267106,2.4981148,0.034949355,1.4735926
main,3,0.0,104.0,337.5,800.0,1,0,0,0.40131441699850257,0.029766457,2.4987025,0.03369031,1.4733024
main,4,0.0,52.0,337.5,800.0,1,0,0,0.6191752920003637,0.039167117,2.4987009,0.03224715,1.4733022
main,5,0.0,21.5,425.0,800.0,1,1,1,0.6920666250007343,0.03434699,2.5139475,0.027743498,1.4648917
main,6,0.0,26.0,425.0,800.0,0,0,1,0.6607372919988848,0.030516537,2.5082855,0.027580325,1.4677455
main,7,0.0,21.5,487.5,800.0,1,1,1,0.6367819999995845,0.030013451,2.6495535,0.020183632,1.4091638
main,8,0.0,520.0,50.0,800.0,1,0,0,0.8309202499985986,0.0297834,2.8406382,0.015235756,1.349305
main,9,0.0,520.0,50.0,800.0,0,1,0,0.894904459000827,0.029645773,2.997785,0.01137386,1.2889034
main,10,0.0,520.0,50.0,800.0,1,0,0,0.818348958999195,0.029566845,3.1277072,0.00842099,1.2315952
main,11,0.0,520.0,50.0,800.0,0,1,0,0.7221751659999427,0.029522752,3.2359266,0.0061957897,1.1791658
main,12,0.0,520.0,50.0,800.0,1,1,1,0.7403695419998257,0.029857544,1.9754285,0.016873803,1.0915618
main,13,0.0,1.0,775.0,800.0,0,1,0,0.6988304170008632,0.03242744,0.7669773,0.04654177,0.5427914
main,14,0.0,17.200000762939453,525.0,800.0,1,0,0,0.7225448329991195,0.04690645,0.19421516,0.11176815,0.18977106
main,15,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.8745297910008958,0.039534267,0.22367239,0.08524897,0.18677932
main,16,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.8250273749999906,0.034940735,0.24202688,0.06290427,0.18250206
main,17,0.0,0.4300000071525574,12.5,800.0,0,1,0,0.7919029999993654,0.095512055,5.8987933e-07,0.210282,0.00047322677
main,18,0.0,0.4300000071525574,737.5,800.0,1,1,1,0.7940389169998525,0.09551192,1.179051e-06,0.21028179,0.0006691883
main,19,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.7005504580010893,0.09551162,2.3580915e-06,0.21028136,0.0009463715
main,20,0.0,0.4300000071525574,12.5,800.0,1,0,0,1.050127042000895,0.0955122,4.716222e-13,0.21028219,4.232333e-07
main,21,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.8938698749989271,0.0955122,9.432448e-13,0.21028219,5.985424e-07
main,22,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.5262783749985829,0.0955122,1.8864905e-12,0.21028219,8.4646695e-07
main,23,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.8738441250006872,0.0955122,3.7729824e-12,0.21028219,1.1970853e-06
main,24,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.9142774580013793,0.0955122,7.545968e-12,0.21028219,1.6929347e-06
main,25,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.7341505410004174,0.0955122,1.5091942e-11,0.21028219,2.3941718e-06
main,26,0.0,0.4300000071525574,12.5,800.0,0,1,0,0.7569532500001515,0.0955122,3.0183845e-18,0.21028219,1.0707054e-09
main,27,0.0,0.4300000071525574,12.5,800.0,0,1,0,0.6979921660004038,0.0955122,6.0367615e-25,0.21028219,4.788337e-13
main,28,0.0,0.4300000071525574,12.5,800.0,1,0,0,0.7600727499993809,0.0955122,1.2073515e-31,0.21028219,2.1414087e-16
main,29,0.0,0.4300000071525574,12.5,800.0,1,0,0,0.4464252080015285,0.0955122,2.4147e-38,0.21028219,9.5766654e-20
main,30,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.6634533340002235,0.0955122,4.8293924e-38,0.21028219,1.3543436e-19
