block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,26.0,475.0,800.0,1,-1,1,3.000211292000131,,,,
prac,2,0.0,26.0,200.0,800.0,1,0,0,0.41145883399985905,,,,
prac,3,0.0,52.0,362.5,800.0,0,0,1,0.5016687080005795,,,,
main,1,0.0,260.0,437.5,800.0,0,1,0,0.6967371670007196,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,0,0,1,0.5575189589999354,0.019267106,2.4981148,0.034949355,1.4735926
main,3,0.0,104.0,337.5,800.0,0,0,1,0.45787441699940246,0.008772919,2.4975274,0.032977648,1.4738823
main,4,0.0,156.0,400.0,800.0,1,0,0,1.0904248340002596,0.011068941,2.4967992,0.032781366,1.4742408
main,5,0.0,104.0,387.5,800.0,0,0,1,0.5241652500008058,0.009521897,2.5112996,0.02851072,1.4662337
main,6,0.0,104.0,437.5,800.0,1,1,1,0.7496364169992376,0.00858438,2.5142574,0.02855803,1.4647379
main,7,0.0,156.0,375.0,800.0,0,0,1,1.161698291999528,0.007944126,2.6685283,0.02100752,1.4051183
main,8,0.0,26.0,675.0,800.0,1,0,0,1.3291064999993978,0.007617218,2.8484764,0.015734453,1.3427049
main,9,0.0,2.0,787.5,800.0,1,0,0,0.5419590829997105,0.009694408,1.3245698,0.03828268,0.9722491
main,10,0.0,8.600000381469727,750.0,800.0,0,1,0,0.6525379160002558,0.02134287,0.34993535,0.09018415,0.31585762
main,11,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.6033337079998091,0.014884627,0.38040566,0.06686071,0.3112266
main,12,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.8823581249998824,0.011214551,0.39772138,0.048494127,0.3072202
main,13,0.0,156.0,387.5,800.0,1,1,1,0.9747124169998642,0.028486708,0.1169149,0.110046655,0.097476356
main,14,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.910894124999686,0.019281011,0.13297276,0.083657324,0.09312035
main,15,0.0,156.0,412.5,800.0,0,0,1,0.7866824579996319,0.06450037,0.0356803,0.17510992,0.049143728
main,16,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.8824564590004229,0.04948037,0.052961417,0.15299322,0.05166806
main,17,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.7308997500003898,0.034770895,0.069885224,0.1259487,0.04837282
main,18,0.0,156.0,400.0,800.0,0,1,0,0.8150013340000442,0.040336695,0.0643017,0.135992,0.050688278
main,19,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.9927142079995974,0.027535487,0.079220265,0.10795953,0.044537064
main,20,0.0,156.0,412.5,800.0,1,1,1,0.7132404999993014,0.05559272,0.045506243,0.16275099,0.050757516
main,21,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.7204870840005242,0.04029037,0.06295019,0.13728125,0.049656942
main,22,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.8791267500000686,0.027196638,0.07787637,0.109249875,0.043452095
main,23,0.0,156.0,387.5,800.0,0,0,1,0.751753125000505,0.019717805,0.08621774,0.08904427,0.037030656
main,24,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.8475433749999866,0.013332258,0.09348145,0.06593005,0.028421395
main,25,0.0,156.0,387.5,800.0,0,-1,0,3.0001867500004664,0.04405048,0.05910473,0.143295,0.050388902
main,26,0.0,156.0,400.0,800.0,1,1,1,1.064961666000272,0.049428824,0.05247945,0.15324196,0.051000807
main,27,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.5437844160005625,0.034647625,0.06931218,0.12622422,0.047630493
main,28,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.6059177079996516,0.023022069,0.0825513,0.09842247,0.040113453
main,29,0.0,156.0,387.5,800.0,0,0,1,0.6421114999993733,0.016456734,0.08987328,0.07822685,0.033071812
main,30,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.6864752080000471,0.011444095,0.09557182,0.057291344,0.024869135
