block,trial,t_ss,t_ll,r_ss,r_ll,is_ll_on_left,key_left,response,rt,mean_k,mean_tau,sd_k,sd_tau
prac,1,0.0,2.0,87.5,800.0,0,0,1,1.1842655830005242,,,,
prac,2,0.0,26.0,450.0,800.0,1,0,0,0.7197601249990839,,,,
prac,3,0.0,21.5,450.0,800.0,1,-1,1,3.0003273750007793,,,,
prac,4,0.0,6.440000057220459,400.0,800.0,1,-1,1,3.0003983340011473,,,,
main,1,0.0,260.0,437.5,800.0,1,0,0,0.47773604199937836,0.1885936,2.5000544,0.26466876,1.4725112
main,2,0.0,21.5,375.0,800.0,0,0,1,0.44012158300029114,0.019267106,2.4981148,0.034949355,1.4735926
main,3,0.0,104.0,337.5,800.0,1,0,0,0.3869349999986298,0.029766457,2.4987025,0.03369031,1.4733024
main,4,0.0,52.0,337.5,800.0,1,1,1,0.4130937090012594,0.0203658,2.4987035,0.032456845,1.473303
main,5,0.0,52.0,387.5,800.0,0,0,1,0.37130550000074436,0.017735519,2.5141134,0.028198285,1.4648072
main,6,0.0,52.0,437.5,800.0,0,0,1,0.43897562500023923,0.015838077,2.5197988,0.028251396,1.4619243
main,7,0.0,12.899999618530273,675.0,800.0,1,0,0,0.5284541669989267,0.015268446,2.6964536,0.020964677,1.3996567
main,8,0.0,12.899999618530273,675.0,800.0,1,0,0,0.4845480829990265,0.014945095,2.834382,0.015387098,1.3411477
main,9,0.0,12.899999618530273,675.0,800.0,0,1,0,0.4050162919993454,0.014767833,2.9438927,0.011208716,1.2888521
main,10,0.0,1.0,787.5,800.0,1,0,0,0.5329155409999657,0.015723795,1.6069076,0.02666018,1.0433276
main,11,0.0,17.200000762939453,637.5,800.0,0,1,0,0.42045983400021214,0.02058477,0.57149595,0.059896786,0.4660667
main,12,0.0,52.0,437.5,800.0,0,0,1,0.38360970800022187,0.017818691,0.63214535,0.044979982,0.45784286
main,13,0.0,156.0,237.5,800.0,0,0,1,0.38602999999966414,0.016340066,0.6759784,0.033328343,0.45307264
main,14,0.0,52.0,450.0,800.0,0,1,0,1.2323015839992877,0.023858413,0.262724,0.0757615,0.19492766
main,15,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.3421556249995774,0.019496907,0.2787158,0.055372298,0.18934748
main,16,0.0,104.0,137.5,800.0,0,0,1,0.3951050829982705,0.017110793,0.28746474,0.039840225,0.18564184
main,17,0.0,12.899999618530273,662.5,800.0,0,1,0,0.3608746659992903,0.026790805,0.13020414,0.086532086,0.08873047
main,18,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.38166329200066684,0.021201855,0.14079332,0.063916005,0.083800405
main,19,0.0,0.4300000071525574,12.5,800.0,1,1,1,1.0525302909991296,0.018052028,0.1467612,0.04626142,0.080276534
main,20,0.0,52.0,425.0,800.0,1,1,1,0.3412361669998063,0.01639727,0.15182626,0.03377553,0.07911125
main,21,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.3425325000007433,0.015495693,0.15355645,0.024036296,0.07787321
main,22,0.0,52.0,437.5,800.0,1,1,1,0.3442271250005433,0.015076251,0.15894893,0.017916786,0.079195976
main,23,0.0,17.200000762939453,625.0,800.0,1,0,0,0.4405909580000298,0.016664006,0.11355298,0.036203403,0.042021763
main,24,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.3669659170009254,0.01562944,0.1150429,0.025788536,0.04021931
main,25,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.332615416000408,0.015101905,0.11580264,0.018303273,0.03924661
main,26,0.0,0.4300000071525574,12.5,800.0,0,0,1,0.34940466699845274,0.014835519,0.11618626,0.012966828,0.0387405
main,27,0.0,52.0,437.5,800.0,0,0,1,0.41762412499883794,0.014717317,0.11805094,0.0098144915,0.04039829
main,28,0.0,17.200000762939453,625.0,800.0,1,0,0,0.31574116599949775,0.01503898,0.10569939,0.017241767,0.022244053
main,29,0.0,0.4300000071525574,12.5,800.0,1,1,1,0.28150308299882454,0.014802515,0.10600997,0.012212064,0.021525016
main,30,0.0,1.0,625.0,800.0,0,0,1,0.8596914159988955,0.014683761,0.106165946,0.008642536,0.021152977
